Epoch,Average_Reward,Best_Reward,Loss,Marginal_Gains,Duplicate_Rate
355,8.6500,9.2500,-1.700467,8.6500,7.50
356,8.4750,9.2500,-1.620857,8.4750,5.00
357,8.7375,9.2500,-1.268808,8.7375,5.00
358,8.6250,9.2500,-1.564919,8.6250,5.00
359,8.4250,9.2500,-1.662108,8.4250,12.50
360,9.1875,9.2500,-1.409168,9.1875,2.50
361,8.9375,9.2500,-1.581756,8.9375,2.50
362,8.7125,9.2500,-1.464988,8.7125,10.00
363,8.7000,9.2500,-1.646563,8.7000,7.50
364,8.6375,9.2500,-1.393502,8.6375,17.50
365,9.2750,9.2750,-1.613386,9.2750,5.00
366,8.8750,9.2750,-1.732778,8.8750,0.00
367,8.7750,9.2750,-1.469529,8.7750,5.00
368,9.0625,9.2750,-1.729845,9.0625,2.50
369,8.8750,9.2750,-1.839103,8.8750,7.50
370,8.7250,9.2750,-1.414055,8.7250,2.50
371,8.9500,9.2750,-1.600923,8.9500,5.00
372,8.9875,9.2750,-1.400615,8.9875,2.50
373,8.9125,9.2750,-1.581095,8.9125,5.00
374,9.0000,9.2750,-1.496968,9.0000,0.00
375,9.2375,9.2750,-1.203061,9.2375,5.00
376,9.0125,9.2750,-1.517637,9.0125,0.00
377,8.5875,9.2750,-1.253640,8.5875,5.00
378,9.1250,9.2750,-1.449130,9.1250,7.50
379,8.6125,9.2750,-1.479692,8.6125,5.00
380,8.7750,9.2750,-1.272036,8.7750,7.50
381,8.8875,9.2750,-1.149523,8.8875,12.50
382,8.6750,9.2750,-1.161446,8.6750,5.00
383,9.2875,9.2875,-1.439470,9.2875,0.00
384,8.8750,9.2875,-0.974115,8.8750,5.00
385,8.8750,9.2875,-1.267682,8.8750,5.00
386,8.5000,9.2875,-1.375147,8.5000,0.00
387,8.8750,9.2875,-1.001033,8.8750,12.50
388,9.0625,9.2875,-1.649646,9.0625,2.50
389,9.0500,9.2875,-1.244969,9.0500,0.00
390,8.5625,9.2875,-1.181602,8.5625,7.50
391,8.7125,9.2875,-1.185653,8.7125,2.50
392,8.7375,9.2875,-1.358300,8.7375,7.50
393,8.6250,9.2875,-0.985615,8.6250,12.50
394,8.8250,9.2875,-1.305902,8.8250,2.50
395,8.8500,9.2875,-1.334249,8.8500,5.00
396,8.9250,9.2875,-1.203551,8.9250,5.00
397,8.8000,9.2875,-1.590496,8.8000,2.50
398,8.9625,9.2875,-1.277039,8.9625,2.50
399,8.9375,9.2875,-1.220190,8.9375,7.50
400,8.7625,9.2875,-1.736604,8.7625,10.00
401,8.7750,9.2875,-1.511775,8.7750,5.00
402,8.8250,9.2875,-1.684903,8.8250,2.50
403,8.9875,9.2875,-1.460403,8.9875,2.50
404,8.7875,9.2875,-1.667787,8.7875,0.00
405,8.7250,9.2875,-1.692611,8.7250,0.00
406,8.7500,9.2875,-1.717558,8.7500,0.00
407,8.7375,9.2875,-1.505164,8.7375,0.00
408,8.6875,9.2875,-1.649991,8.6875,5.00
409,8.3625,9.2875,-1.719564,8.3625,0.00
410,8.8375,9.2875,-1.695996,8.8375,2.50
411,8.9000,9.2875,-1.641419,8.9000,2.50
412,8.3500,9.2875,-1.604672,8.3500,10.00
413,8.7875,9.2875,-1.728063,8.7875,2.50
414,9.0750,9.2875,-1.677645,9.0750,2.50
415,8.5625,9.2875,-1.694580,8.5625,10.00
416,9.1000,9.2875,-1.573877,9.1000,5.00
417,8.4750,9.2875,-1.554675,8.4750,10.00
418,9.2250,9.2875,-1.696090,9.2250,0.00
419,9.0375,9.2875,-1.008972,9.0375,5.00
420,8.7500,9.2875,-1.587658,8.7500,5.00
421,8.6875,9.2875,-1.444889,8.6875,0.00
422,8.7875,9.2875,-1.632175,8.7875,2.50
423,8.5625,9.2875,-1.619722,8.5625,2.50
424,8.9500,9.2875,-1.647948,8.9500,2.50
425,8.5250,9.2875,-1.561949,8.5250,7.50
426,8.8000,9.2875,-1.524884,8.8000,2.50
427,8.8750,9.2875,-1.350092,8.8750,0.00
428,8.7375,9.2875,-1.443173,8.7375,10.00
429,8.8125,9.2875,-1.556304,8.8125,2.50
430,8.6875,9.2875,-1.565264,8.6875,5.00
431,9.0250,9.2875,-1.623212,9.0250,2.50
432,8.6375,9.2875,-1.520850,8.6375,7.50
433,8.6625,9.2875,-1.550719,8.6625,5.00
434,8.5875,9.2875,-1.686299,8.5875,5.00
435,9.0500,9.2875,-1.572077,9.0500,0.00
436,8.5625,9.2875,-1.676911,8.5625,5.00
437,9.1500,9.2875,-1.481556,9.1500,5.00
438,8.9250,9.2875,-1.557566,8.9250,2.50
439,8.9750,9.2875,-1.321620,8.9750,2.50
440,8.5375,9.2875,-1.498137,8.5375,10.00
441,8.9250,9.2875,-1.466260,8.9250,5.00
442,8.6500,9.2875,-1.516532,8.6500,5.00
443,8.8375,9.2875,-1.408723,8.8375,5.00
444,9.0125,9.2875,-1.362781,9.0125,12.50
445,8.5500,9.2875,-1.355330,8.5500,12.50
446,8.7625,9.2875,-1.598517,8.7625,2.50
447,8.7625,9.2875,-1.665859,8.7625,0.00
448,8.5500,9.2875,-1.740731,8.5500,5.00
449,9.0125,9.2875,-1.575143,9.0125,0.00
450,8.7625,9.2875,-1.599338,8.7625,0.00
451,8.7125,9.2875,-1.593068,8.7125,5.00
452,8.6625,9.2875,-1.286719,8.6625,5.00
453,8.5875,9.2875,-1.416746,8.5875,7.50
454,9.0375,9.2875,-1.507836,9.0375,5.00
455,8.7125,9.2875,-1.534459,8.7125,0.00
456,8.9125,9.2875,-1.491991,8.9125,2.50
457,8.7500,9.2875,-1.623901,8.7500,2.50
458,9.0250,9.2875,-1.440907,9.0250,2.50
459,8.7375,9.2875,-1.849602,8.7375,0.00
460,8.7375,9.2875,-1.269743,8.7375,12.50
461,9.1125,9.2875,-1.472093,9.1125,0.00
462,8.9750,9.2875,-1.414421,8.9750,5.00
463,8.5125,9.2875,-1.528982,8.5125,5.00
464,8.7000,9.2875,-1.562799,8.7000,5.00
465,8.5125,9.2875,-1.282576,8.5125,5.00
466,8.7000,9.2875,-1.541987,8.7000,0.00
467,9.0875,9.2875,-1.615022,9.0875,2.50
468,8.9375,9.2875,-1.517586,8.9375,2.50
469,8.7250,9.2875,-1.519069,8.7250,2.50
470,8.7875,9.2875,-1.488364,8.7875,7.50
